order	special_ability	target_self	target_friends	target_enemies	phase
#special_ability_to_special_ability_phase_junctions_tables;2;db/special_ability_to_special_ability_phase_junctions_tables/jar_adjustable_missiles
0	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-100	true	false	false	jar_adjustable_missiles__ability_phase__acc__-100
0	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-99	true	false	false	jar_adjustable_missiles__ability_phase__acc__-99
0	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-98	true	false	false	jar_adjustable_missiles__ability_phase__acc__-98
0	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-97	true	false	false	jar_adjustable_missiles__ability_phase__acc__-97
0	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-97	true	false	false	jar_adjustable_missiles__ability_phase__acc__-97
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-97	true	false	false	jar_adjustable_missiles__ability_phase__acc__-97
0	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-97	true	false	false	jar_adjustable_missiles__ability_phase__acc__-97
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-97	true	false	false	jar_adjustable_missiles__ability_phase__acc__-97
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-97	true	false	false	jar_adjustable_missiles__ability_phase__acc__-97
0	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-96	true	false	false	jar_adjustable_missiles__ability_phase__acc__-96
0	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-96	true	false	false	jar_adjustable_missiles__ability_phase__acc__-96
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-96	true	false	false	jar_adjustable_missiles__ability_phase__acc__-96
0	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-96	true	false	false	jar_adjustable_missiles__ability_phase__acc__-96
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-96	true	false	false	jar_adjustable_missiles__ability_phase__acc__-96
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-96	true	false	false	jar_adjustable_missiles__ability_phase__acc__-96
0	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-95	true	false	false	jar_adjustable_missiles__ability_phase__acc__-95
0	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-95	true	false	false	jar_adjustable_missiles__ability_phase__acc__-95
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-95	true	false	false	jar_adjustable_missiles__ability_phase__acc__-95
0	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-95	true	false	false	jar_adjustable_missiles__ability_phase__acc__-95
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-95	true	false	false	jar_adjustable_missiles__ability_phase__acc__-95
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-95	true	false	false	jar_adjustable_missiles__ability_phase__acc__-95
0	jar_adjustable_missiles__ability__acc__jar_unit_set_global__-94	true	false	false	jar_adjustable_missiles__ability_phase__acc__-94
0	jar_adjustable_missiles__ability__acc__jar_unit_set_characters__-94	true	false	false	jar_adjustable_missiles__ability_phase__acc__-94
0	jar_adjustable_missiles__ability__acc__jar_unit_set_artillery_war_machines__-94	true	false	false	jar_adjustable_missiles__ability_phase__acc__-94
0	jar_adjustable_missiles__ability__acc__jar_unit_set_single_entities__-94	true	false	false	jar_adjustable_missiles__ability_phase__acc__-94
0	jar_adjustable_missiles__ability__acc__jar_unit_set_cavalry_chariots__-94	true	false	false	jar_adjustable_missiles__ability_phase__acc__-94
0	jar_adjustable_missiles__ability__acc__jar_unit_set_infantry__-94	true	false	false	jar_adjustable_missiles__ability_phase__acc__-94
