unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__!!_sartosa_overhaul__
			cathay_pirate_bombard	jar_ac_unit_set_chariots_war_machines	false
			cathay_pirate_crossbows	jar_ac_unit_set_infantry	false
			cathay_pirate_dual_swords	jar_ac_unit_set_infantry	false
			cathay_pirate_fire_rain_rocket_battery	jar_ac_unit_set_chariots_war_machines	false
			sartosa_buccaneer_deck_gun_weapon_team	jar_ac_unit_set_infantry	false
			sartosa_buccaneer_deck_gun_weapon_team_ror	jar_ac_unit_set_infantry	false
			sartosa_buccaneer_drakefire_cannon	jar_ac_unit_set_chariots_war_machines	false
			sartosa_buccaneer_drakegun_weapon_team	jar_ac_unit_set_infantry	false
			sartosa_buccaneer_mortar_ror	jar_ac_unit_set_chariots_war_machines	false
			sartosa_buccaneer_torpedo_weapon_team	jar_ac_unit_set_infantry	false
			sartosa_buccaneers_axe_and_pistol	jar_ac_unit_set_infantry	false
			sartosa_buccaneers_blunderbuss	jar_ac_unit_set_infantry	false
			sartosa_buccaneers_dual_axes	jar_ac_unit_set_infantry	false
			sartosa_davey_scurvy_dog_summon	jar_ac_unit_set_war_beasts	false
			sartosa_depth_guard_jenny_ror	jar_ac_unit_set_infantry	false
			sartosa_leviathan	jar_ac_unit_set_single_entities	false
			sartosa_norscan_raider_great_weapons	jar_ac_unit_set_infantry	false
			sartosa_norscan_raiders	jar_ac_unit_set_infantry	false
			sartosa_norscan_raiders_ror	jar_ac_unit_set_infantry	false
			sartosa_norscan_reaver_axe_and_shield	jar_ac_unit_set_infantry	false
			sartosa_norscan_reaver_captain_chariot	jar_ac_unit_set_chariots_war_machines	false
			sartosa_norscan_reaver_dual_axes	jar_ac_unit_set_infantry	false
			sartosa_norscan_reaver_halberds	jar_ac_unit_set_infantry	false
			sartosa_norscan_reaver_ror	jar_ac_unit_set_infantry	false
			sartosa_norscan_warhounds	jar_ac_unit_set_war_beasts	false
			sartosa_norscan_whalers	jar_ac_unit_set_infantry	false
			sartosa_pirate_artillery_cannon	jar_ac_unit_set_chariots_war_machines	false
			sartosa_pirate_artillery_culverin	jar_ac_unit_set_chariots_war_machines	false
			sartosa_pirate_artillery_deck_cannon	jar_ac_unit_set_chariots_war_machines	false
			sartosa_pirate_artillery_mortar	jar_ac_unit_set_chariots_war_machines	false
			sartosa_pirate_artillery_volley_gun	jar_ac_unit_set_chariots_war_machines	false
			sartosa_pirate_halberds	jar_ac_unit_set_infantry	false
			sartosa_pirate_halberds_ror	jar_ac_unit_set_infantry	false
			sartosa_pirate_handguns	jar_ac_unit_set_infantry	false
			sartosa_pirate_handguns_ror	jar_ac_unit_set_infantry	false
			sartosa_privateers	jar_ac_unit_set_infantry	false
			sartosa_privateers_dual_swords	jar_ac_unit_set_infantry	false
			sartosa_privateers_halberds	jar_ac_unit_set_infantry	false
			sartosa_privateers_james_ror	jar_ac_unit_set_infantry	false
			sartosa_privateers_ror	jar_ac_unit_set_infantry	false
			sartosa_privateers_roth_ror	jar_ac_unit_set_infantry	false
			sartosa_promethean_riders	jar_ac_unit_set_monstrous_infantry	false
			sartosa_promethean_riders_davey_ror	jar_ac_unit_set_monstrous_infantry	false
			sartosa_prometheans	jar_ac_unit_set_monstrous_infantry	false
			sartosa_prometheans_ror	jar_ac_unit_set_monstrous_infantry	false
			sartosa_prometheans_summoned	jar_ac_unit_set_monstrous_infantry	false
			sartosa_saboteurs	jar_ac_unit_set_infantry	false
			sartosa_smugglers	jar_ac_unit_set_infantry	false
			sartosa_smugglers_ror	jar_ac_unit_set_infantry	false
			sartosa_smugglers_sammy_ror	jar_ac_unit_set_infantry	false
			sartosa_terrorgheist_summoned	jar_ac_unit_set_single_entities	false
			sartosa_zombie_carnosaur	jar_ac_unit_set_single_entities	false
			sartosa_zombie_dragon	jar_ac_unit_set_single_entities	false
			sartosa_zombie_dread_saurian	jar_ac_unit_set_single_entities	false
			sartosa_zombie_kharibdyss	jar_ac_unit_set_single_entities	false
			sartosa_zombie_mammoth	jar_ac_unit_set_single_entities	false
			sartosa_privateers_summoned	jar_ac_unit_set_infantry	false
			sartosa_powder_kegs	jar_ac_unit_set_chariots_war_machines	false
