unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/jar_adjustable_missiles__Mf_Bertrand_Thieves_Honor__
			brt_herrimaults	jar_adj_com_unit_set_infantry	false
			brt_brigands	jar_adj_com_unit_set_infantry	false
			brt_brigands_axes	jar_adj_com_unit_set_infantry	false
			brt_brigand_raiders	jar_adj_com_unit_set_cavalry	false
			brt_chasseurs	jar_adj_com_unit_set_cavalry	false
			brt_brigand_crossbows	jar_adj_com_unit_set_infantry	false
			brt_bowmen_of_bergerac	jar_adj_com_unit_set_infantry	false
			brt_aspirant_hoods	jar_adj_com_unit_set_infantry	false
			brt_brigand_waylayers	jar_adj_com_unit_set_infantry	false
			brt_brigand_cutthroats	jar_adj_com_unit_set_infantry	false
			mf_srvbrgTH_brt_dishonored_knights	jar_adj_com_unit_set_infantry	false
			mf_srvbrgTH_brt_brigand_crossbows_armored	jar_adj_com_unit_set_infantry	false
			mf_srvbrgTH_brt_brigand_blunderbuss_armored	jar_adj_com_unit_set_infantry	false
			mf_srvbrgTH_brt_herrimault_rangers	jar_adj_com_unit_set_infantry	false
			mf_srvbrgTH_brt_brigand_rapscallions	jar_adj_com_unit_set_infantry	false
			mf_srvbrgTH_brt_brigand_rapscallions_armored	jar_adj_com_unit_set_infantry	false
			mf_srvbrgTH_brt_brigand_knaves	jar_adj_com_unit_set_infantry	false
			mf_srvbrgth_brt_inf_returned_men_at_arms_halberds	jar_adj_com_unit_set_infantry	false
			mf_srvbrgTH_brt_peasant_mob_free	jar_adj_com_unit_set_infantry	false
			mf_srvbrgTH_brt_brigand_plunderer	jar_adj_com_unit_set_cavalry	false
