mainUnitKey	landUnitKey	caste	category	class	uiGroup	parentGroup	useVanillaParentGroup	numMen	numEngines	numMounts	useHitpointsInCampaign	primaryMissileWeapon	primaryAmmo	arUnitCategory	size	unitSet
wh_dlc04_vmp_cha_strigoi_ghoul_king_0_boss	wh_dlc04_vmp_cha_strigoi_ghoul_king_0_boss	melee_infantry	inf_melee	com	wizard_vampires	heroes_agents	true	1	0	0	true		0	melee	small	jar_adj_com_unit_set_single_entities
emp_carroburg	emp_carroburg	melee_infantry	inf_melee	inf_mel	infantry_sword_great	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
emp_altdorf_company	emp_altdorf_company	melee_infantry	inf_melee	inf_mel	infantry_spear_halberd	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
emp_knights_panther	emp_knights_panther	melee_cavalry	cavalry	cav_mel	shock_cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
emp_sigmar_war	emp_sigmar_war	melee_infantry	inf_melee	inf_mel	infantry_hammer_great	infantry	true	100	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
emp_witch_squad	emp_witch_squad	missile_infantry	inf_ranged	inf_mis	missile_infantry_bow	missile_infantry	true	20	0	0	false	emp_witch_squad	40	archer	small	jar_adj_com_unit_set_infantry
emp_wolf_kin	emp_wolf_kin	melee_infantry	inf_melee	inf_mel	infantry_axe_great	infantry	true	160	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
emp_wolf_knight	emp_wolf_knight	melee_cavalry	cavalry	cav_mel	cavalry	cavalry_chariots	true	60	0	60	false		0	melee	medium	jar_adj_com_unit_set_cavalry
emp_officer_squad	emp_officer_squad	missile_infantry	inf_ranged	inf_mis	missile_infantry_rifle	missile_infantry	true	20	0	0	false	emp_officer_squad	156	archer	small	jar_adj_com_unit_set_infantry
emp_tank_ror	emp_tank_ror	chariot	war_machine	chariot	emp_steam_tank	artillery_war_machines	true	3	1	1	true	wh2_dlc13_emp_steam_tank_cannon_ball_emperors_wrath	45	artillery	large	jar_adj_com_unit_set_chariots_war_machines
emp_ulric_sons	emp_ulric_sons	melee_infantry	inf_melee	inf_mel	infantry_sword	infantry	true	140	0	0	false		0	melee	small	jar_adj_com_unit_set_infantry
emp_hound	emp_hound	war_beast	inf_melee	cav_mel	war_beast	monster_beasts	true	1	0	0	true		0	melee	medium	jar_adj_com_unit_set_single_entities
